"institution","collection","recordsets","recordsetQuery","institution_code","collection_code","collection_uuid","collection_lsid","collection_url","collection_catalog_url","description","descriptionForSpecialists","cataloguedSpecimens","knownToContainTypes","taxonCoverage","geographic_range","collectionExtent","contact","contact_role","contact_email","mailing_address","mailing_city","mailing_state","mailing_zip","physical_address","physical_city","physical_state","physical_zip","UniqueNameUUID","attributionLogoURL","providerManagedID","derivedFrom","sameAs","flags","portalDisplay","lat","lon"
"Illinois State University, John Wesley Powell and Dale Birkenholz Natural History collections","Natural History","","","ISU","","urn:uuid:17b4118e-f437-11e4-b78b-002315492bbc","","http://biology.illinoisstate.edu/apcappar/collections/","","Birds, mammals, fish, herps North America, Botswana","",NA,NA,"Birds, mammals, fish, herps","North America, Botswana","","Angelo Capparella","Curator","apcappar@ilstu.edu","School of Biological Sciences, ISU","Normal","Illinois","61790-4120","School of Biological Sciences, ISU","Normal","Illinois","61790-4120","urn:uuid:e9fd8138-eefc-4c55-9e17-ae2124fbbba9","","","","","","",40.5625,-88.6167
"University of Michigan Biological Station, Douglas Lake","Entomology","","","","","urn:uuid:17fe8f4e-8cc1-4f55-b7bf-9bc792fbc99d","","","","","",NA,NA,"","","","Brian Scholtens","","scholtensb@cofc.edu","9133 Biological Road","Pellston","Michigan","49769","9133 Biological Road","Pellston","Michigan","49769","","","","","","","",45.5587,-84.6776
"Bandelier National Monument","Herbarium","aeed0286-ffe4-45b8-a7b9-bcee18361433","{""recordset"":""aeed0286-ffe4-45b8-a7b9-bcee18361433""}","NPS<IH>","BAND","urn:uuid:182b40fc-9199-4652-b340-72e79ca7b147","","https://www-lib.uwyo.edu/digitalherbaria/","","","The flora of Bandelier is now one of the best documented, and most current, vascular plant inventories available for any unit in the National Park Service. The completion of a Revised Checklist of the Vascular Plants of Bandelier National Monument (Jacobs 2012) represents the first significant update to the flora of the monument in the 20 years since completion of the initial Flora of Bandelier project (Jacobs, 1989). Over 50 additional taxa are documented for the monument, bringing the total from around 746 species in 1989 to 800+ in 2012. The relatively high diversity of vascular plants (800+ taxa documented for 33,000 acre area) reflects the complex topography and wide range of climatic settings available across a nearly 5000-foot elevation range from the Rio Grande at 5300-feet to the summit of Cerro Grande at 10100-feet. However over 15% of the flora is non-native reflecting the legacy of historic landuse and modern disturbances. The monuments herbarium serves the dual purpose of documenting the monuments flora, while also providing a key botanical reference in support of research and monitoring efforts.",NA,NA,"","","","","","","","","","","","","","","","","","","","","",35.7651,-106.3221
"University of Missouri, W.R. Enns Entomology Museum","Entomology","81dc7cdb-66be-4683-ae79-068a784378b1","{""recordset"":""81dc7cdb-66be-4683-ae79-068a784378b1""}","UMOC","Insect Collection","urn:uuid:18316d5a-964f-4030-bdc1-e5b7886f28c8","","http://museum.insecta.missouri.edu/","","Lepidoptera, Coleoptera, Heteroptera Global","",NA,NA,"Lepidoptera, Coleoptera, Heteroptera","Global","","Robert Sites","Director","sitesr@missouri.edu","MU Plant Sciences, 52 Agriculture Lab","Columbia","Missouri","65211","52 Agriculture Lab","Columbia","Missouri","65211","urn:uuid:7421fcdb-22a9-4a46-a282-462673f1da9d","","","","","","",39.172,-91.8734
"Ohio University, The Floyd Bartley Herbarium","Herbarium","2f740a87-8049-435d-9d06-1c393c9c11b7","{""recordset"":""2f740a87-8049-435d-9d06-1c393c9c11b7""}","BHO<IH>","","urn:uuid:186567b2-0ea0-46e3-9267-712c20947c42","urn:lsid:biocol.org:col:13796","http://www.ohio.edu/plantbio/herbarium/","http://brahms.plantbio.ohiou.edu/","","",NA,NA,"","","","Harvey E. Ballard, Jr.","Director","ballardh@ohio.edu","Department of Environmental and Plant Biology, 315 Porter Hall, Richmond Ave.","Athens","Ohio","45701-2979","315 Porter Hall, Richland Ave.","Athens","Ohio","45701-2979","urn:uuid:7c574005-1d4e-425e-b1b7-ad0d64f74309","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125594","","",39.3486,-82.1377
"Springfield Science Museum","Herpetology","","","","","urn:uuid:18891b44-bce0-43d0-b33c-6e2a5958ce58","","","","Full mounts, fluid preserved specimens, skeletal material","",NA,NA,"","","","Dave Stier ","","dstier@springfieldmuseums.org","21 Edwards Street","Springfield","Massachusetts","01103-0000","21 Edwards Street","Springfield","Massachusetts","01103-0000","","","","","","","",42.1044,-72.5882
"University of Puget Sound, Slater Museum of Natural History","","e6d3c1da-a02f-43a2-a5ef-6a035298b933, 662b1aa5-9c19-4eb9-9766-1da78a117456","{""recordset"":[""e6d3c1da-a02f-43a2-a5ef-6a035298b933"",""662b1aa5-9c19-4eb9-9766-1da78a117456""]}","PSM","","urn:uuid:18c87f7c-453c-4b64-b7ff-6cdf76f55449","urn:lsid:biocol.org:col:34825","http://www.pugetsound.edu/academics/academic-resources/slater-museum/","http://www.pugetsound.edu/academics/academic-resources/slater-museum/collections/search-and-browse-collections/","Regional - birds, mammals, herps & plants of Washington & Oregon region.","",89500,FALSE,"mammals, birds, reptiles, amphibians, insects","Regional - birds, mammals, herps & plants of Washington & Oregon region.","89,500","Gary Shugart","collections manager","gshugart@pugetsound.edu","1500 N. Warner St. #1088","Tacoma","Washington","98416","1500 N. Warner St. #1088","Tacoma","Washington","98416","","","","","","","",47.2642,-122.481
"Florida Southern College","Herbarium","","","FSCL<IH>","","urn:uuid:18de65e0-a90f-43ef-83a8-44da3f5efd0e","urn:lsid:biocol.org:col:13019","","","","",NA,NA,"","","","Eric W. Kjellmark","","ekjellmark@flsouthern.edu","Biology Department, 111 Lake Hollingsworth Drive","Lakeland","Florida","33801-5698","","Lakeland","Florida","33801-5698","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124529","","",28.0359,-81.8997
"Smithsonian Institution National Museum of Natural History","Entomology","a6eee223-cf3b-4079-8bb2-b77dad8cae9d, 5975bbda-cd92-4084-8a09-ce1e28e6164f","[{""recordset"":""a6eee223-cf3b-4079-8bb2-b77dad8cae9d"",""collectioncode"":""entomology""},{""recordset"":""5975bbda-cd92-4084-8a09-ce1e28e6164f"",""institutioncode"":""usnm""}]","USNM","Entomology","urn:uuid:18e3cd08-a962-4f0a-b72c-9a0b3600c5ad","http://grbio.org/cool/1wcv-afpg","http://entomology.si.edu/Collections.html","http://collections.nmnh.si.edu/search/ento/","","",NA,NA,"","","","Floyd Shockley","Curator","bradys@si.edu","National Museum of Natural History, MRC 188, PO BOX 37012","Suitland","Maryland","20746","10th Street and Constitution Avenue, NW","Suitland","Maryland","20746","urn:uuid:4fcd6058-bf89-4770-a692-60334160e449","","","","","","",38.8304,-76.9017
"University of North Alabama","Herbarium","0dabd609-2505-4492-8b7a-3f8301d8d5e1","{""recordset"":""0dabd609-2505-4492-8b7a-3f8301d8d5e1""}","UNAF<IH>","","urn:uuid:19475290-35cf-4084-988e-11070f1504c5","urn:lsid:biocol.org:col:14909","","","","",NA,NA,"","","","Paul G. Davison","Curator","pgdavison@una.edu","Department of Biology, UNA Box 5232","Florence","Alabama","35632-0001","","Florence","Alabama","35632-0001","urn:uuid:7f9c86d7-3ba9-4417-aa88-f5022c1dd291","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126761","","",34.87,-87.7069
"State University of New York College at Cortland","Herbarium","de56670c-2032-4833-9a89-46f7d6a037c7","{""recordset"":""de56670c-2032-4833-9a89-46f7d6a037c7""}","CORT<IH>","","urn:uuid:1998d8df-784e-4401-aac8-90cc6fa0b972","urn:lsid:biocol.org:col:14122","","","","",NA,NA,"","","","Tim Baronia","Curator","Tim.Baroni@cortland.edu","Biological Sciences Department, P.O. Box 2000","Cortland","New York","13045-0900","Gephart Road.","Cortland","New York","13045-0900","urn:uuid:5a81b6dc-9442-45e9-b80d-b366df44dd2f","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126047","","",43.2738,-76.4784
"University of California Santa Cruz","Reptiles","","","","","urn:uuid:19a72d51-7890-41cb-a431-9611f2c417cb","","http://mnhc.ucsc.edu/coll_res/collections/reptiles.shtml","","","",NA,NA,"","","","Chris Lay","Curator","cml@ucsc.edu","Department of Environmental Studies, Museum of Natural History, 1156 High St.","Santa Cruz","California","95064","1156 High Street, Natural Sciences 2 building","Santa Cruz","California","95064","urn:uuid:7732a3ac-43ed-4a69-aa0a-d0c99c415e80","","","","","","",36.9775,-122.0559
"Indiana University of Pennsylvania","Herbarium","","","IUP<IH>","","urn:uuid:19b5ec7f-091b-44a4-93b1-5890f2b5e46a","urn:lsid:biocol.org:col:13274","","","","",NA,NA,"","","","Jerry L. Pickering","Director","jlpicker@grove.iup.edu","Biology Department","Indiana","Pennsylvania","15705-1090","","Indiana","Pennsylvania","15705-1090","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124811","","",40.64,-79.1294
"Southern Methodist University, Shuler Museum of Paleontology","Paleontology","","","SMU","","urn:uuid:19b9c755-f1d6-4117-a509-1e43a0bf49a3","","http://smu.edu/shulermuseum/","","","",NA,NA,"","","","Dale A. Winkler","Director","dwinkler@smu.edu","3225 Daniel Ave","Dallas","Texas","75275","3225 Daniel Ave","Dallas","Texas","75275","","","","","","","",32.8466,-96.7833
"University of Wyoming, Insect Museum","Insects","","","","","urn:uuid:19bef62c-4c3c-4c93-80b8-2d5c68bc6646","","http://www.uwyo.edu/esm/entomology/entomology%20museum%20homepage.htm","","","",NA,NA,"","","","Scott R. Shaw","Curator","braconid@uwyo.edu","Ecosystem Science and Management, Dept. 3354, 1000 East University Avenue","Laramie","Wyoming","82701","Ecosystem Science and Management, Dept. 3354, 1000 East University Avenue","Laramie","Wyoming","82701","","","","","","","",44.2964,-105.5034
"University of West Alabama","Herbarium","","","UWAL<IH>","","urn:uuid:19e747e2-dafa-4447-a89f-3159e3d58c6d","","","","","",NA,NA,"","","","Brian Keener","","bkeener@uwa.edu","Department of Biological and Environmental Sciences, Station 7, Station 7","Livingston","Alabama","35470","University of West Alabama Herbarium (UWAL), Department of Biological and Environmental Sciences, 205 North Washington Street/Station 7","Livingston","Alabama","35470","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=147941","","",32.5905,-88.1832
"University of Tennessee, Chattanooga","Herbarium","120d557c-c5be-474d-98f0-1ba00ae16b40","{""recordset"":""120d557c-c5be-474d-98f0-1ba00ae16b40""}","UCHT<IH>","","urn:uuid:1a0db038-e2d7-4934-9fcc-9fa32bb0a6d3","urn:lsid:biocol.org:col:15184","http://www.utc.edu/biological-environmental-sciences/links/herbarium.php","","","",NA,NA,"","","","Joey Shaw","Curator","Joey-Shaw@utc.edu","Department of Biological and Environmental Sciences","Chattanooga","Tennessee","37403-2598","615 McCallie Avenue","Chattanooga","Tennessee","37403-2598","urn:uuid:f94ed40b-bc02-4432-9eda-faa9168fa8a3","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126841","","",35.045,-85.299
"US Forest Service Southwestern Region","Herbarium","5af1bae4-35c0-4ab7-9d08-08bbe22ca003","{""recordset"":""5af1bae4-35c0-4ab7-9d08-08bbe22ca003""}","USFS<IH>","TEUI","urn:uuid:1a4b8c96-fddd-428d-96e4-3ae8aaeb95f1","","","","","",NA,NA,"","","","Elizabeth Makings","Collection Manager","elizabeth.makings@asu.edu","Tonto National Forest, 2324 E. McDowell Rd.","Phoenix","Arizona","85006","Tonto National Forest, 2324 E. McDowell Rd.","85006","Arizona","85006","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125798","","",33.4666,-112.0341
"University of Texas at El Paso Biodiversity Collections","Fishes","3c6099e4-3a0c-44c8-942a-f44860aea12b","{""recordset"":""3c6099e4-3a0c-44c8-942a-f44860aea12b""}","UTEP","Fish specimens","urn:uuid:1a635923-a13c-4822-99a7-468e2e15de1a","http://grbio.org/cool/ds37-w4tk","http://museum.utep.edu/","http://admin.utep.edu/Default.aspx?tabid=60237","","",NA,NA,"","","","Teresa Mayfield","Collection Manager","UTEPBC@utep.edu","500 West University Avenue, Biology B222","El Paso","Texas","79968","500 West University Avenue, Biology B222","El Paso","Texas","79968","urn:uuid:b6552df9-f46a-4384-a956-d6b0c7e86b54","","","","","","",31.77,-106.5054
"Louisiana State University, Museum of Natural Science","Vertebrate Paleontology","","","LSUMZ","","urn:uuid:1a7634ad-1932-4f45-8166-30d523c430ef","","http://appl003.lsu.edu/natsci/lmns.nsf/$Content/Vertebrate+Paleontology?OpenDocument","","","",NA,NA,"","","","Judith A. Schiebout","Curator","jschie@lsu.edu","119 Foster Hall, Louisiana State University","Baton Rouge","Louisiana","70803","119 Foster Hall, Louisiana State University","Baton Rouge","Louisiana","70803","urn:uuid:ecfba5c5-0fb4-4f5d-93bc-990238b33589","","","","","","",30.5293,-91.1081
"University of Michigan, Museum of Paleontology","Paleobotany","","","UMMP","","urn:uuid:1a7f3e70-50bb-452b-bdd7-f755e0a5ffd1","","http://www.lsa.umich.edu/paleontology/collections/paleobotanycollection","https://umorf.ummp.lsa.umich.edu","ANGIOSPERMS:1)Miocene and Pliocene of Pacific Northwest 2)Paleocene of New Mexico 3)Eocene of Oregon 4)some Cretaceous from Potomac Group of Eastern US. SEED PLANTS AND PTERIDOPHYTES 1)Devonian through Carboniferous of the Atlantic Coast of U.S. 2)scattered Permian and Triassic small collections United States and Canada, rare specimens from elsewhere","",NA,NA,"ANGIOSPERMS: 1)Miocene and Pliocene of Pacific Northwest 2)Paleocene of New Mexico 3)Eocene of Oregon 4)some Cretaceous from Potomac Group of Eastern US. SEED PLANTS AND PTERIDOPHYTES 1)Devonian through Carboniferous of the Atlantic Coast of U.S. 2)scattered Permian and Triassic small collections","United States and Canada, rare specimens from elsewhere","","Robyn J Burnham","Curator","rburnham@umich.edu","1109 Geddes Ave","Ann Arbor","Michigan","48109","1109 Geddes Ave","Ann Arbor","Michigan","48109","","","","","","","",42.2779,-83.735
"University of Alabama","Ichthyology","ce0c9488-97f0-432a-a0fa-d204230366be","{""recordset"":""ce0c9488-97f0-432a-a0fa-d204230366be""}","UA","","urn:uuid:1a9fd998-dcc0-11e4-ae1c-002315492bbc","http://grbio.org/cool/g615-hqex","http://ua.edu/","","","",NA,NA,"","","","Phillip Harris","Curator","pharris@bama.ua.edu","801 Campus Drive","Tuscaloosa","Alabama","35487","801 Campus Drive","Tuscaloosa","Alabama","35487","urn:uuid:5dd09d1d-f23a-481d-b232-a0ac19664dc1","","","","","","",33.2139,-87.5513
"American Museum of Natural History","Vertebrate Zoology, Ichthyology","","","AMNH","","urn:uuid:1aa66e09-cb13-47f3-8457-5ac8035ac530","","http://www.amnh.org/our-research/vertebrate-zoology/ichthyology","http://www.amnh.org/our-research/vertebrate-zoology/ichthyology/database","","",NA,NA,"","","","John S. Sparks","Curator-in-charge","jsparks@amnh.org","Central Park West at 79th St","New York","New York","10024-5192","Central Park West at 79th St","New York","New York","10024-5192","urn:uuid:a312a5eb-8a63-4ef7-b57c-6bbea34f37c3","","","","","","",40.7866,-73.9684
"Washburn University","Herbarium","9d9016ef-a88f-4312-a0bf-638fc4be53ba","{""recordset"":""9d9016ef-a88f-4312-a0bf-638fc4be53ba""}","WASH<IH>","","urn:uuid:1ac1b0fe-c141-4014-8b83-71ed2616a2b0","","","","","",NA,NA,"","","","Jason Emry","Collection Manager","jason.emry@washburn.edu","1700 SW College Ave","Topeka","KS","66621","1700 SW College Ave","Topeka","KS","66621","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126985","","",39.0333,-95.7017
"Georgia Southern University","Entomology","","","","","urn:uuid:1b0cc6a7-c379-4120-9dc7-9911f88023fd","","http://cosm.georgiasouthern.edu/icps/collections/entomology-collection/","","Diptera, Lepidoptera Georgia, Florida, North Carolina, South Carolina","",520000,NA,"Diptera, Lepidoptera","Georgia, Florida, North Carolina, South Carolina","520000","Daniel Gleason","Director","dgleason@georgiasouthern.edu","75 Georgia Ave, Building 204","Statesboro","Georgia","30460","75 Georgia Ave, Building 204","Statesboro","Georgia","30460","urn:uuid:e6b45bb0-c27e-4d9c-ab39-9615a1ba3a36","","","","","","",32.4231,-81.7792
"Chicago Academy of Sciences","Oology","cfe5c00e-bec3-4120-a8eb-62c5353f3e80","{""recordset"":""cfe5c00e-bec3-4120-a8eb-62c5353f3e80""}","CHAS","Oology","urn:uuid:1baa47b8-171a-41e5-909e-705b18453a6a","","http://www.naturemuseum.org","","The Chicago Academy of Sciences oology collection includes eggs and nests, including specimens of the extinct passenger pigeon and the first documented nesting of the Kittlitz’s murrelet, collected from Cape Prince of Wales (Alaska). All catalogued specimens are imaged, and images are available upon request. Many specimens are associated with collectors or Academy expeditions that have manuscript and /or audio-visual archival material, which can also be provided to researchers upon request. Notable collectors include William I. Lyon, Harold H. Bailey, H.L. Harllee, Francis S. Dayton, and John B. Hurley.","",NA,NA,"","","","Dawn Roberts","Director of Collections","droberts@naturemuseum.org","2430 North Cannon Drive","Chicago","Illinois","60614","2430 North Cannon Drive","Chicago","Illinois","60614","urn:uuid:93877ee6-76bc-4ca0-8ee6-7eae72061ed6","","","","","","",41.9146,-87.6276
"Olympic National Park","Herbarium","","","OLYM<IH>","","urn:uuid:1bb8ca20-ccc2-4981-90df-b46d1c3dec34","","","","","",NA,NA,"","","","Matthew Dubeau","Curator of Collections","Matthew_Dubeau@nps.gov","Cultural Resources, 600 East Park Avenue","Port Angeles","Washington","98362","600 East Park Avenue","Port Angeles","Washington","98362","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=166927","","",48.1016,-123.4359
"University of Utah, Natural History Museum of Utah","Amphibians And Reptiles","8a9e3b42-e6e8-4485-b304-3cbf6d709a6c","{""recordset"":""8a9e3b42-e6e8-4485-b304-3cbf6d709a6c""}","UMNH","Amphibian And Reptile Specimens","urn:uuid:1bd2eb01-4d9f-44c7-acef-6c41b9e2a624","http://grbio.org/cool/4w5q-n27y","https://nhmu.utah.edu/vertebrate-zoology","http://arctos.database.museum/SpecimenSearch.cfm","","",NA,FALSE,"","","","Eric Rickart","Curator of Vertebrate Zoology","rickart@umnh.utah.edu","Utah Museum of Natural History, 301 Wakara Way","Salt Lake City","Utah","84108-1214","301 Wakara Way","Salt Lake City","Utah","84108-1214","urn:uuid:26f00cec-b7d6-4676-8e37-0b189db7636e","","","","","","",40.7615,-111.8266
"Michigan State University Museum","Ornithology","9dce915b-3de4-4a7d-a68d-e4c4c15809ce","{""recordset"":[""9dce915b-3de4-4a7d-a68d-e4c4c15809ce""],""collectioncode"":[""OR""]}","MSU","OR","urn:uuid:1be5fd60-2404-447e-813c-5358ac446f98","http://grbio.org/cool/1j3t-wde4","http://www.museum.msu.edu/?q=natural","","","",NA,NA,"","","","Laura Abraczinskas","Collections Manager","abraczi1@msu.edu","Michigan State University Museum, Division of Natural Sciences, West Circle Drive","East Lansing","Michigan","48824-1045","Michigan State University Museum, Division of Natural Sciences, West Circle Drive","East Lansing","Michigan","48824-1045","urn:uuid:d0e33f75-e7b5-46e2-a80b-3d087fd452d9","","","","","","",42.733,-84.4872
"Fort Hays State University, Sternberg Museum","Paleontology","d6f12b28-bb9f-44f9-9000-08f644658bf8, 560ba8f5-0dab-46f6-985d-7b37397344cd","{""recordset"":[""560ba8f5-0dab-46f6-985d-7b37397344cd"",""d6f12b28-bb9f-44f9-9000-08f644658bf8""]}","FHSM","VP (vertebrate paleontology), IP (invertebrate paleontology)","urn:uuid:1be73175-688d-42c6-9093-45061f1eac2b","","http://sternberg.fhsu.edu/research-collections/collections/paleontology/","","Late Cretaceous Western Interior Seaway faunas (sharks, bony fish, marine reptiles, seabirds, pterosaurs, sea turtles); Miocene terrestrial mammals (rhinos, horse, camel, carnivores); Neogene rodents Mostly western Kansas, with some reference specimens from across the western United States.","",NA,NA,"Late Cretaceous Western Interior Seaway faunas (sharks, bony fish, marine reptiles, seabirds, pterosaurs, sea turtles); Miocene terrestrial mammals (rhinos, horse, camel, carnivores); Neogene rodents","Mostly western Kansas, with some reference specimens from across the western United States.","","Laura E. Wilson","Curator","lewilson6@fhsu.edu","3000 Sternberg Drive","Hays","Kansas","67601","3000 Sternberg Drive","Hays","Kansas","67601","urn:uuid:5d16eb05-3889-46d1-ae30-db51a9cea061","","","","","","",38.8887,-99.3001
"City of Alexandria","Herbarium","","","AVCH","","urn:uuid:1c730f5a-ee7b-4f63-8434-7f14a001777c","","","","","",NA,NA,"","","4500","Roderick Simmons","Plant Ecologist","Rod.Simmons@alexandriava.gov","Dept. Recreation, Parks, and Cultural Activities (RPCA) 2900-A Business Center Drive","Alexandria","Virginia","22314","Dept. Recreation, Parks, and Cultural Activities (RPCA) 2900-A Business Center Drive","Alexandria","Virginia","22314","urn:uuid:40c1c668-33ec-4798-b610-d25a2af09ac5","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=226237","","",38.8058,-77.085
"Duke University Herbarium","Fungi","1eca069b-09e0-406d-9625-cb9c52e1e5cc","{""recordset"":""1eca069b-09e0-406d-9625-cb9c52e1e5cc""}","DUKE<IH>","","urn:uuid:1c91d75c-a30f-48cd-9643-3e54f01195e3","","http://herbarium.duke.edu/collections/fungi","","","",NA,NA,"","","","Rytas Vilgalys","Curator","fungi@duke.edu","Biology Department, Rm 137, BioSci Bldg, Duke Box 90338, 130 Science Drive","Durham","North Carolina","27708","Science Drive, West Campus.","Durham","North Carolina","27708-0338","urn:uuid:c4cd5120-b5ea-4c36-9100-3b1e5483aa93","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124433","","",35.9985,-78.9454
"College of the Holy Cross","Oology","","","","","urn:uuid:1cbdea96-4ae4-469d-a7fb-0cb6b90e5b8b","","","","Eggs","",NA,NA,"","","100","Leon Claessens ","","lclaesse@holycross.edu","1 College Street","Worcester","Massachusetts","01604-0000","1 College Street","Worcester","Massachusetts","01604-0000","","","","","","","",42.2392,-71.8101
"University of Wyoming","Herbarium","","","WYAC<IH>","","urn:uuid:1cfe826b-1c55-4bcb-828e-c7ba2f6507c9","urn:lsid:biocol.org:col:14941","","","","",NA,NA,"","","","Dan Rodgers","Director","drodgers@uwyo.edu","Range Ecology and Watershed Management Department, P.O. Box 3354","Laramie","Wyoming","82071-3354","College of Agriculture.","Laramie","Wyoming","82071-3354","urn:uuid:ba3885c3-c78e-46c0-94b3-99eb0bf3d778","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126909","","",41.1024,-104.8048
"Virginia Commonwealth University, Lewis Ginter Botanical Garden","Herbarium","","","VCU<IH>","","urn:uuid:1d081c63-71c7-4f08-aa28-c6f2c0d00924","urn:lsid:biocol.org:col:15160","washing","","","",NA,NA,"","","","Greg Plunkett","","gmplunke@vcu.edu","Biology Department, 1000 W. Cary Street, P.O. Box 842012","Richmond","Virginia","24038-4007","","Richmond","Virginia","23284-2012","urn:uuid:265fdb70-3767-48bc-a757-1aaeabf63a22","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126946","","",37.5494,-77.4512
"Union College","Herbarium","","","UCS<IH>","","urn:uuid:1d133e63-3ab1-47b4-9fc9-e883b68bc7f3","urn:lsid:biocol.org:col:14255","","","","",NA,NA,"","","","Steven K. Rice","Curator","rices@union.edu","Department of Biological Sciences","Schenectady","New York","12308","Union Street at Nott Terrace, Science and Engineering Center.","Schenectady","New York","12308","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126216","","",42.8117,-73.9359
"Lewis-Clark State College","Herbarium","","","HCH<IH>","","urn:uuid:1d170907-cdee-44f6-b5d2-dccc1995fa12","urn:lsid:biocol.org:col:14918","","","","",NA,NA,"","","","Elizabeth Martin","Director","efmartin@lcsc.edu","Natural Sciences Department","Lewiston","Idaho","83501-2698","500 8th Avenue.","Lewiston","Idaho","83501-2698","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=125147","","",46.4127,-117.0265
"Bureau of Land Management, Winnemucca District Office","Herbarium","","","WDNE<IH>","","urn:uuid:1d34edee-4810-481e-8544-2e9b26d8df5c","urn:lsid:biocol.org:col:14926","","","","",NA,NA,"","","","Mike Zielinski","Herbarium Coordinator","mike_zielinski@nv.blm.gov","5100 East Winnemucca Boulevard","Winnemucca","Nevada","89445","","Winnemucca","Nevada","89445","","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=124148","","",41.2135,-117.7068
"University of Wisconsin-Stevens Point, Robert W. Freckmann Herbarium","Bryophytes","15a1cc29-b66c-4633-ad9c-c2c094b19902","{""recordset"":""15a1cc29-b66c-4633-ad9c-c2c094b19902""}","UWSP<IH>","","urn:uuid:1d637ffd-d261-4f42-b60b-3765757756bc","","http://wisplants.uwsp.edu","","","",NA,NA,"","","","Virginia Freire","Curator","vfreire@uwsp.edu","Department of Biology, 301 Daniel O. Trainer Natural Resource Building","Stevens Point","Wisconsin","54881","College of Natural Resource Building, rooms 304 and 310.","Stevens Point","Wisconsin","54481-3897","urn:uuid:558015a4-f399-480f-9710-f760247e2241","","","","http://sweetgum.nybg.org/science/ih/herbarium_details.php?irn=126898","","",44.5243,-89.5767
"University of California Los Angeles","Donald R. Dickey Bird and Mammal Collection","63dee426-7b24-4217-a5fc-76428f3aa74f","{""recordset"":[""63dee426-7b24-4217-a5fc-76428f3aa74f""]}","UCLA","","urn:uuid:1d6ff0ab-2fa8-400b-8205-5f1e22b617c1","","https://dickey.lifesci.ucla.edu/","","The UCLA Dickey Bird and Mammal Collection, containing over 70,000 specimens, is one of the largest maintained by a university in California.","The avian collection includes representatives of every order and 75% of the families; the mammal collection spans 35% of the orders and 40% of all families (Table 1).  The collection has significant systematic and taxonomic value in that it contains over 200 holotypes, including 183 bird and 48 mammal taxa.  In addition, the bird collection houses large numbers of specimens from many now-degraded habitats in Mexico and northern Central America, including a significant series by Thomas R. Howell of passerine birds inhabiting the lowland pine savannas of northeastern Nicaragua taken from the 1950s through the 1970s (Ornithological Monograph No. 68).  It also contains a small but important series of an endemic seabird, the Tristram’s Storm-Petrel (Oceanodroma tristrami), and endemic land birds from the Hawaiian Islands, including the Laysan Finch (Telespiza cantans), and the Millerbird (Acrocephalus familiaris) as well as an important series of the extinct Passenger Pigeon (Ectopistes migratorius) from the late 1870s and several California Condors (Gymnogyps californianus) from the very early 1900s.",70000,TRUE,"","","","Kathy C. Molina","Collection Manager","kmolina@obee.ucla.edu","140 Hershey Hall","Los Angeles","CA","90095","140 Hershey Hall","Los Angeles","CA","90095","","","","","","","",34.0669,-118.44
"Perkins Museum of Geology","Malacology","","","","","urn:uuid:1d7c819d-a172-435d-880e-089da0f554d2","","","","Fluid preserved specimens","",NA,NA,"","","","Robin Hopps ","","geology@uvm.edu","180 Colchester Avene","Burlington","Vermont","05401-0000","180 Colchester Avene","Burlington","Vermont","05401-0000","","","","","","","",44.4828,-73.1965
"University of Guam","Herbarium","e77108de-88dd-4931-8085-0ea59d7ca4ee","{""recordset"":""e77108de-88dd-4931-8085-0ea59d7ca4ee""}","UGG","GUAM<IH>","urn:uuid:1d95772c-048c-11e5-b0ee-002315492bbc","","http://www.uog.edu/herbarium","","Guam, northern Mariana islands, Micronesia; Pacific benthic algae","",60000,NA,"","Guam, northern Mariana islands, Micronesia; Pacific benthic algae","60,000","Tom Schils","Director","tom@schils.be","University of Guam, Biology Department, CNAS-Natural Sciences, Rm 105","Mangilao","Guam","96923","University of Guam, Biology Department, CNAS-Natural Sciences, Rm 105","Mangilao","Guam","96923","urn:uuid:d97b70c9-00c6-476c-bb36-9be7d95fbcfc","","","","","","",13.4335,144.7989
"Montshire Museum of Science","Herpetology","","","","","urn:uuid:1de05f49-9185-4182-9f0d-ad352744fa98","","","","Taxidermy","",NA,NA,"","","<100","Bob Raiselis","","bob.raiselis@montshire.org","1 Montshire Road","Norwich","Vermont","05055-0000","1 Montshire Road","Norwich","Vermont","05055-0000","","","","","","","",43.7,-72.3074
